Connecting to container 'datacloudlivedataiceberg', prefix '2026/03'...
Schema loaded: 9 column(s), 28708 file(s), 627.4 GB total.
Starting — 2 transform(s), 8 worker(s), 5 attempt(s)/file...
Listing complete: 28708 file(s) found.
Worker #6 | 00001/28708 | 2026/03/01/00/20260301_000021_liveData_batch6.parquet | 10.05s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 00002/28708 | 2026/03/01/00/20260301_000014_liveData_batch2.parquet | 10.07s | 22.6 MB | SKIPPED (already in target schema)
Worker #5 | 00003/28708 | 2026/03/01/00/20260301_000019_liveData_batch5.parquet | 13.33s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 00004/28708 | 2026/03/01/00/20260301_000027_liveData_batch10.parquet | 3.85s | 5.8 MB | SKIPPED (already in target schema)
Worker #1 | 00005/28708 | 2026/03/01/00/20260301_000012_liveData_batch1.parquet | 17.18s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 00006/28708 | 2026/03/01/00/20260301_000025_liveData_batch8.parquet | 17.17s | 22.5 MB | SKIPPED (already in target schema)
Worker #4 | 00007/28708 | 2026/03/01/00/20260301_000018_liveData_batch4.parquet | 17.27s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 00008/28708 | 2026/03/01/00/20260301_000023_liveData_batch7.parquet | 17.94s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 00009/28708 | 2026/03/01/00/20260301_000016_liveData_batch3.parquet | 18.50s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 00010/28708 | 2026/03/01/00/20260301_001528_liveData_batch4.parquet | 10.42s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00011/28708 | 2026/03/01/00/20260301_000026_liveData_batch9.parquet | 17.79s | 22.6 MB | SKIPPED (already in target schema)
Worker #2 | 00012/28708 | 2026/03/01/00/20260301_001519_liveData_batch2.parquet | 14.72s | 22.5 MB | SKIPPED (already in target schema)
Worker #5 | 00013/28708 | 2026/03/01/00/20260301_001514_liveData_batch1.parquet | 17.05s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 00014/28708 | 2026/03/01/00/20260301_001525_liveData_batch3.parquet | 13.89s | 22.5 MB | SKIPPED (already in target schema)
Worker #4 | 00015/28708 | 2026/03/01/00/20260301_001531_liveData_batch5.parquet | 13.97s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 00016/28708 | 2026/03/01/00/20260301_001545_liveData_batch10.parquet | 4.07s | 6.0 MB | SKIPPED (already in target schema)
Worker #7 | 00017/28708 | 2026/03/01/00/20260301_001533_liveData_batch6.parquet | 15.35s | 22.6 MB | SKIPPED (already in target schema)
Worker #3 | 00018/28708 | 2026/03/01/00/20260301_001535_liveData_batch7.parquet | 18.95s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 00019/28708 | 2026/03/01/00/20260301_003016_liveData_batch1.parquet | 11.27s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00020/28708 | 2026/03/01/00/20260301_001544_liveData_batch9.parquet | 15.97s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 00021/28708 | 2026/03/01/00/20260301_001541_liveData_batch8.parquet | 17.37s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 00022/28708 | 2026/03/01/00/20260301_003022_liveData_batch3.parquet | 14.46s | 22.6 MB | SKIPPED (already in target schema)
Worker #1 | 00023/28708 | 2026/03/01/00/20260301_003019_liveData_batch2.parquet | 15.18s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 00024/28708 | 2026/03/01/00/20260301_003031_liveData_batch5.parquet | 14.44s | 22.5 MB | SKIPPED (already in target schema)
Worker #3 | 00025/28708 | 2026/03/01/00/20260301_003034_liveData_batch6.parquet | 10.33s | 22.5 MB | SKIPPED (already in target schema)
Worker #4 | 00026/28708 | 2026/03/01/00/20260301_003043_liveData_batch10.parquet | 3.94s | 5.5 MB | SKIPPED (already in target schema)
Worker #2 | 00027/28708 | 2026/03/01/00/20260301_003026_liveData_batch4.parquet | 17.08s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 00028/28708 | 2026/03/01/00/20260301_004508_liveData_batch3.parquet | 6.79s | 22.0 MB | SKIPPED (already in target schema)
Worker #6 | 00029/28708 | 2026/03/01/00/20260301_003039_liveData_batch8.parquet | 13.46s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00030/28708 | 2026/03/01/00/20260301_004503_liveData_batch1.parquet | 14.52s | 22.0 MB | SKIPPED (already in target schema)
Worker #5 | 00031/28708 | 2026/03/01/00/20260301_003037_liveData_batch7.parquet | 19.33s | 22.5 MB | SKIPPED (already in target schema)
Worker #4 | 00032/28708 | 2026/03/01/00/20260301_004511_liveData_batch4.parquet | 12.97s | 21.7 MB | SKIPPED (already in target schema)
Worker #4 | 00033/28708 | 2026/03/01/00/20260301_004525_liveData_batch10.parquet | 1.20s | 2.6 MB | SKIPPED (already in target schema)
Worker #2 | 00034/28708 | 2026/03/01/00/20260301_004516_liveData_batch5.parquet | 14.08s | 21.8 MB | SKIPPED (already in target schema)
Worker #7 | 00035/28708 | 2026/03/01/00/20260301_004505_liveData_batch2.parquet | 17.69s | 21.9 MB | SKIPPED (already in target schema)
Worker #3 | 00036/28708 | 2026/03/01/00/20260301_004518_liveData_batch6.parquet | 11.57s | 21.8 MB | SKIPPED (already in target schema)
Worker #8 | 00037/28708 | 2026/03/01/00/20260301_003041_liveData_batch9.parquet | 23.23s | 22.3 MB | SKIPPED (already in target schema)
Worker #2 | 00038/28708 | 2026/03/01/01/20260301_010007_liveData_batch2.parquet | 12.21s | 22.6 MB | SKIPPED (already in target schema)
Worker #4 | 00039/28708 | 2026/03/01/01/20260301_010005_liveData_batch1.parquet | 12.78s | 22.3 MB | SKIPPED (already in target schema)
Worker #6 | 00040/28708 | 2026/03/01/00/20260301_004520_liveData_batch7.parquet | 19.51s | 22.0 MB | SKIPPED (already in target schema)
Worker #1 | 00041/28708 | 2026/03/01/00/20260301_004522_liveData_batch8.parquet | 16.29s | 21.8 MB | SKIPPED (already in target schema)
Worker #7 | 00042/28708 | 2026/03/01/01/20260301_010012_liveData_batch3.parquet | 16.52s | 22.3 MB | SKIPPED (already in target schema)
Worker #5 | 00043/28708 | 2026/03/01/00/20260301_004524_liveData_batch9.parquet | 22.81s | 21.8 MB | SKIPPED (already in target schema)
Worker #3 | 00044/28708 | 2026/03/01/01/20260301_010014_liveData_batch4.parquet | 18.09s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 00045/28708 | 2026/03/01/01/20260301_010028_liveData_batch10.parquet | 15.29s | 6.3 MB | SKIPPED (already in target schema)
Worker #8 | 00046/28708 | 2026/03/01/01/20260301_010017_liveData_batch5.parquet | 29.57s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 00047/28708 | 2026/03/01/01/20260301_010019_liveData_batch6.parquet | 26.65s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 00048/28708 | 2026/03/01/01/20260301_010023_liveData_batch8.parquet | 26.27s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 00049/28708 | 2026/03/01/01/20260301_010026_liveData_batch9.parquet | 26.06s | 22.6 MB | SKIPPED (already in target schema)
Worker #4 | 00050/28708 | 2026/03/01/01/20260301_010021_liveData_batch7.parquet | 28.50s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 00051/28708 | 2026/03/01/01/20260301_011520_liveData_batch6.parquet | 11.92s | 21.9 MB | SKIPPED (already in target schema)
