Worker #3 | 09997/28708 | 2026/03/12/00/20260312_001528_liveData_batch9.parquet | 20.82s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 09998/28708 | 2026/03/12/00/20260312_003018_liveData_batch6.parquet | 9.67s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 09999/28708 | 2026/03/12/00/20260312_003021_liveData_batch7.parquet | 9.78s | 22.3 MB | SKIPPED (already in target schema)
Worker #8 | 10000/28708 | 2026/03/12/00/20260312_003015_liveData_batch5.parquet | 21.77s | 22.3 MB | SKIPPED (already in target schema)
Worker #6 | 10001/28708 | 2026/03/12/00/20260312_003025_liveData_batch8.parquet | 16.70s | 22.3 MB | SKIPPED (already in target schema)
Worker #1 | 10002/28708 | 2026/03/12/00/20260312_003029_liveData_batch9.parquet | 14.96s | 22.0 MB | SKIPPED (already in target schema)
Worker #4 | 10003/28708 | 2026/03/12/00/20260312_004514_liveData_batch5.parquet | 8.57s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 10004/28708 | 2026/03/12/00/20260312_004506_liveData_batch1.parquet | 18.31s | 22.5 MB | SKIPPED (already in target schema)
Worker #5 | 10005/28708 | 2026/03/12/00/20260312_004512_liveData_batch4.parquet | 13.27s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 10006/28708 | 2026/03/12/00/20260312_004521_liveData_batch10.parquet | 0.39s | 398.2 KB | SKIPPED (already in target schema)
Worker #3 | 10007/28708 | 2026/03/12/00/20260312_004509_liveData_batch3.parquet | 17.44s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 10008/28708 | 2026/03/12/00/20260312_004507_liveData_batch2.parquet | 21.35s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 10009/28708 | 2026/03/12/00/20260312_004516_liveData_batch6.parquet | 13.28s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 10010/28708 | 2026/03/12/00/20260312_004519_liveData_batch8.parquet | 11.13s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 10011/28708 | 2026/03/12/00/20260312_004520_liveData_batch9.parquet | 15.24s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 10012/28708 | 2026/03/12/00/20260312_004517_liveData_batch7.parquet | 18.56s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 10013/28708 | 2026/03/12/01/20260312_010008_liveData_batch4.parquet | 9.87s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 10014/28708 | 2026/03/12/01/20260312_010006_liveData_batch3.parquet | 14.55s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 10015/28708 | 2026/03/12/01/20260312_010019_liveData_batch9.parquet | 5.15s | 21.5 MB | SKIPPED (already in target schema)
Worker #2 | 10016/28708 | 2026/03/12/01/20260312_010005_liveData_batch2.parquet | 18.61s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 10017/28708 | 2026/03/12/01/20260312_010012_liveData_batch6.parquet | 15.02s | 22.4 MB | SKIPPED (already in target schema)
Worker #5 | 10018/28708 | 2026/03/12/01/20260312_010003_liveData_batch1.parquet | 22.79s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 10019/28708 | 2026/03/12/01/20260312_010010_liveData_batch5.parquet | 17.68s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 10020/28708 | 2026/03/12/01/20260312_011505_liveData_batch2.parquet | 6.34s | 22.2 MB | SKIPPED (already in target schema)
Worker #4 | 10021/28708 | 2026/03/12/01/20260312_010014_liveData_batch7.parquet | 18.89s | 22.5 MB | SKIPPED (already in target schema)
Worker #6 | 10022/28708 | 2026/03/12/01/20260312_010017_liveData_batch8.parquet | 18.65s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 10023/28708 | 2026/03/12/01/20260312_011508_liveData_batch4.parquet | 11.32s | 22.1 MB | SKIPPED (already in target schema)
Worker #7 | 10024/28708 | 2026/03/12/01/20260312_011515_liveData_batch7.parquet | 9.82s | 22.1 MB | SKIPPED (already in target schema)
Worker #2 | 10025/28708 | 2026/03/12/01/20260312_011506_liveData_batch3.parquet | 16.56s | 22.2 MB | SKIPPED (already in target schema)
Worker #3 | 10026/28708 | 2026/03/12/01/20260312_011503_liveData_batch1.parquet | 20.66s | 22.3 MB | SKIPPED (already in target schema)
Worker #8 | 10027/28708 | 2026/03/12/01/20260312_011512_liveData_batch6.parquet | 14.93s | 22.1 MB | SKIPPED (already in target schema)
Worker #1 | 10028/28708 | 2026/03/12/01/20260312_013004_liveData_batch1.parquet | 11.21s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 10029/28708 | 2026/03/12/01/20260312_011518_liveData_batch9.parquet | 13.41s | 21.9 MB | SKIPPED (already in target schema)
Worker #4 | 10030/28708 | 2026/03/12/01/20260312_011516_liveData_batch8.parquet | 17.01s | 22.1 MB | SKIPPED (already in target schema)
Worker #5 | 10031/28708 | 2026/03/12/01/20260312_011510_liveData_batch5.parquet | 25.03s | 22.0 MB | SKIPPED (already in target schema)
Worker #7 | 10032/28708 | 2026/03/12/01/20260312_013006_liveData_batch2.parquet | 13.82s | 22.5 MB | SKIPPED (already in target schema)
Worker #5 | 10033/28708 | 2026/03/12/01/20260312_013020_liveData_batch10.parquet | 0.42s | 306.1 KB | SKIPPED (already in target schema)
Worker #8 | 10034/28708 | 2026/03/12/01/20260312_013012_liveData_batch5.parquet | 13.59s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 10035/28708 | 2026/03/12/01/20260312_013008_liveData_batch3.parquet | 17.32s | 22.4 MB | SKIPPED (already in target schema)
Worker #3 | 10036/28708 | 2026/03/12/01/20260312_013010_liveData_batch4.parquet | 19.28s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 10037/28708 | 2026/03/12/01/20260312_013015_liveData_batch6.parquet | 13.82s | 22.6 MB | SKIPPED (already in target schema)
Worker #6 | 10038/28708 | 2026/03/12/01/20260312_013016_liveData_batch7.parquet | 13.10s | 22.6 MB | SKIPPED (already in target schema)
Worker #7 | 10039/28708 | 2026/03/12/01/20260312_013020_liveData_batch9.parquet | 14.72s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 10040/28708 | 2026/03/12/01/20260312_014507_liveData_batch2.parquet | 12.98s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 10041/28708 | 2026/03/12/01/20260312_014509_liveData_batch3.parquet | 13.07s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 10042/28708 | 2026/03/12/01/20260312_013018_liveData_batch8.parquet | 22.59s | 22.6 MB | SKIPPED (already in target schema)
Worker #4 | 10043/28708 | 2026/03/12/01/20260312_014520_liveData_batch10.parquet | 0.27s | 123.5 KB | SKIPPED (already in target schema)
Worker #5 | 10044/28708 | 2026/03/12/01/20260312_014505_liveData_batch1.parquet | 21.69s | 22.5 MB | SKIPPED (already in target schema)
Worker #3 | 10045/28708 | 2026/03/12/01/20260312_014511_liveData_batch4.parquet | 15.64s | 22.4 MB | SKIPPED (already in target schema)
Worker #6 | 10046/28708 | 2026/03/12/01/20260312_014514_liveData_batch6.parquet | 14.26s | 22.4 MB | SKIPPED (already in target schema)
Worker #8 | 10047/28708 | 2026/03/12/01/20260312_014518_liveData_batch8.parquet | 8.58s | 22.3 MB | SKIPPED (already in target schema)
Worker #1 | 10048/28708 | 2026/03/12/01/20260312_014512_liveData_batch5.parquet | 16.36s | 22.4 MB | SKIPPED (already in target schema)
Worker #7 | 10049/28708 | 2026/03/12/01/20260312_014516_liveData_batch7.parquet | 13.99s | 22.4 MB | SKIPPED (already in target schema)
Worker #2 | 10050/28708 | 2026/03/12/01/20260312_014519_liveData_batch9.parquet | 13.06s | 22.4 MB | SKIPPED (already in target schema)
Worker #1 | 10051/28708 | 2026/03/12/02/20260312_020015_liveData_batch6.parquet | 13.51s | 22.6 MB | SKIPPED (already in target schema)
Worker #3 | 10052/28708 | 2026/03/12/02/20260312_020010_liveData_batch3.parquet | 17.14s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 10053/28708 | 2026/03/12/02/20260312_020017_liveData_batch7.parquet | 10.81s | 22.6 MB | SKIPPED (already in target schema)
Worker #1 | 10054/28708 | 2026/03/12/02/20260312_020021_liveData_batch10.parquet | 0.12s | 192.5 KB | SKIPPED (already in target schema)
Worker #4 | 10055/28708 | 2026/03/12/02/20260312_020006_liveData_batch1.parquet | 18.71s | 22.6 MB | SKIPPED (already in target schema)
Worker #6 | 10056/28708 | 2026/03/12/02/20260312_020012_liveData_batch4.parquet | 15.77s | 22.6 MB | SKIPPED (already in target schema)
Worker #5 | 10057/28708 | 2026/03/12/02/20260312_020008_liveData_batch2.parquet | 18.61s | 22.6 MB | SKIPPED (already in target schema)
Worker #8 | 10058/28708 | 2026/03/12/02/20260312_020014_liveData_batch5.parquet | 16.79s | 22.6 MB | SKIPPED (already in target schema)
Worker #2 | 10059/28708 | 2026/03/12/02/20260312_020019_liveData_batch8.parquet | 17.23s | 22.5 MB | SKIPPED (already in target schema)
Worker #1 | 10060/28708 | 2026/03/12/02/20260312_021508_liveData_batch2.parquet | 12.36s | 22.6 MB | SKIPPED (already in target schema)
Worker #3 | 10061/28708 | 2026/03/12/02/20260312_020021_liveData_batch9.parquet | 12.69s | 22.6 MB | SKIPPED (already in target schema)
Worker #5 | 10062/28708 | 2026/03/12/02/20260312_021515_liveData_batch5.parquet | 13.76s | 22.5 MB | SKIPPED (already in target schema)
Worker #5 | 10063/28708 | 2026/03/12/02/20260312_021522_liveData_batch10.parquet | 0.25s | 265.8 KB | SKIPPED (already in target schema)
Worker #6 | 10064/28708 | 2026/03/12/02/20260312_021513_liveData_batch4.parquet | 16.75s | 22.5 MB | SKIPPED (already in target schema)
Worker #7 | 10065/28708 | 2026/03/12/02/20260312_021506_liveData_batch1.parquet | 17.32s | 22.5 MB | SKIPPED (already in target schema)
Worker #8 | 10066/28708 | 2026/03/12/02/20260312_021516_liveData_batch6.parquet | 15.53s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 10067/28708 | 2026/03/12/02/20260312_021518_liveData_batch7.parquet | 12.86s | 22.4 MB | SKIPPED (already in target schema)
Worker #4 | 10068/28708 | 2026/03/12/02/20260312_021511_liveData_batch3.parquet | 21.82s | 22.5 MB | SKIPPED (already in target schema)
Worker #2 | 10069/28708 | 2026/03/12/02/20260312_023013_liveData_batch5.parquet | 5.49s | 22.2 MB | SKIPPED (already in target schema)
Worker #1 | 10070/28708 | 2026/03/12/02/20260312_021520_liveData_batch8.parquet | 14.22s | 22.4 MB | SKIPPED (already in target schema)
