Connecting to container 'datacloudlivedataiceberg', prefix '2026/04/06'...
Schema loaded: 9 column(s), 956 file(s), 4.5 GB total.
[Checkpoint] Skipping prefix '2026/04/06' — previous run was complete.
All prefixes in batch completed.
Starting — 2 transform(s), 8 worker(s) (Auto-Scale ON), 5 attempt(s)/file...
Listing complete: 956 file(s) found.
Worker #5 | 001/956 | 2026/04/06/00/20260406_000018_liveData_batch5.parquet | 2.99s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 002/956 | 2026/04/06/00/20260406_000023_liveData_batch8.parquet | 2.99s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 003/956 | 2026/04/06/00/20260406_000021_liveData_batch7.parquet | 3.01s | 4.9 MB | SKIPPED (already in target schema)
Worker #3 | 004/956 | 2026/04/06/00/20260406_000014_liveData_batch3.parquet | 3.02s | 4.8 MB | SKIPPED (already in target schema)
Worker #4 | 005/956 | 2026/04/06/00/20260406_000016_liveData_batch4.parquet | 3.03s | 4.8 MB | SKIPPED (already in target schema)
Worker #2 | 006/956 | 2026/04/06/00/20260406_000012_liveData_batch2.parquet | 3.04s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 007/956 | 2026/04/06/00/20260406_000019_liveData_batch6.parquet | 3.04s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 008/956 | 2026/04/06/00/20260406_000010_liveData_batch1.parquet | 3.06s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 009/956 | 2026/04/06/00/20260406_000025_liveData_batch10.parquet | 0.25s | 1.8 MB | SKIPPED (already in target schema)
Worker #8 | 010/956 | 2026/04/06/00/20260406_001525_liveData_batch7.parquet | 0.73s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 011/956 | 2026/04/06/00/20260406_001517_liveData_batch3.parquet | 1.03s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 012/956 | 2026/04/06/00/20260406_000024_liveData_batch9.parquet | 1.28s | 5.0 MB | SKIPPED (already in target schema)
Worker #7 | 013/956 | 2026/04/06/00/20260406_001512_liveData_batch1.parquet | 1.51s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 014/956 | 2026/04/06/00/20260406_001527_liveData_batch8.parquet | 0.65s | 4.8 MB | SKIPPED (already in target schema)
Worker #5 | 015/956 | 2026/04/06/00/20260406_001530_liveData_batch10.parquet | 0.45s | 1.9 MB | SKIPPED (already in target schema)
Worker #1 | 016/956 | 2026/04/06/00/20260406_001523_liveData_batch6.parquet | 1.74s | 4.9 MB | SKIPPED (already in target schema)
Worker #6 | 017/956 | 2026/04/06/00/20260406_001521_liveData_batch5.parquet | 1.77s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 018/956 | 2026/04/06/00/20260406_001519_liveData_batch4.parquet | 1.82s | 5.0 MB | SKIPPED (already in target schema)
Worker #3 | 019/956 | 2026/04/06/00/20260406_001514_liveData_batch2.parquet | 1.96s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 020/956 | 2026/04/06/00/20260406_001529_liveData_batch9.parquet | 0.94s | 4.9 MB | SKIPPED (already in target schema)
Worker #8 | 021/956 | 2026/04/06/00/20260406_003014_liveData_batch2.parquet | 0.56s | 4.9 MB | SKIPPED (already in target schema)
Worker #7 | 022/956 | 2026/04/06/00/20260406_003012_liveData_batch1.parquet | 1.30s | 4.9 MB | SKIPPED (already in target schema)
Worker #5 | 023/956 | 2026/04/06/00/20260406_003016_liveData_batch3.parquet | 1.15s | 4.8 MB | SKIPPED (already in target schema)
Worker #8 | 024/956 | 2026/04/06/00/20260406_003025_liveData_batch9.parquet | 0.75s | 4.9 MB | SKIPPED (already in target schema)
Worker #4 | 025/956 | 2026/04/06/00/20260406_003024_liveData_batch8.parquet | 1.03s | 4.8 MB | SKIPPED (already in target schema)
Worker #6 | 026/956 | 2026/04/06/00/20260406_003019_liveData_batch5.parquet | 1.36s | 4.9 MB | SKIPPED (already in target schema)
Worker #1 | 027/956 | 2026/04/06/00/20260406_003017_liveData_batch4.parquet | 1.45s | 4.9 MB | SKIPPED (already in target schema)
Worker #2 | 028/956 | 2026/04/06/00/20260406_003020_liveData_batch6.parquet | 1.48s | 5.0 MB | SKIPPED (already in target schema)
